,district,urban_rural,household,iron_sheet,tiles,concrete,asbestos,grass,makuti,No_Tin,mud_dung,others,county,province
56,TANA DELTA,Rural,18057,2755,130,10,128,10658,4081,49,3,243,Tana River,COAST
57,LAMU,Rural,17246,5987,45,369,511,3579,6203,60,15,477,Lamu,COAST
58,TAITA,Rural,41265,36711,391,66,978,2121,377,467,22,132,Taita Taveta,COAST
59,TAVETA,Rural,10737,7393,59,3,291,2366,536,18,49,22,Taita Taveta,COAST
60,MARSABIT,Urban,3447,3234,22,5,102,2,0,76,6,0,Marsabit,EASTERN
61,CHALBI,Urban,0,0,0,0,0,0,0,0,0,0,Marsabit,EASTERN
62,LAISAMIS,Urban,1494,397,0,0,16,11,585,13,1,471,Marsabit,EASTERN
63,MOYALE,Urban,6690,5929,19,2,147,516,10,1,60,6,Marsabit,EASTERN
64,ISIOLO,Urban,12699,11916,118,97,289,230,32,8,4,5,Isiolo,EASTERN
65,GARBATULLA,Urban,2181,1745,34,0,1,300,97,1,0,3,Isiolo,EASTERN
66,MERU CENTRAL,Urban,0,0,0,0,0,0,0,0,0,0,Meru,EASTERN
67,IMENTI NORTH,Urban,21792,19641,422,579,1065,41,11,15,2,16,Meru,EASTERN
68,IMENTI SOUTH,Urban,4292,4156,25,64,36,5,0,4,1,1,Meru,EASTERN
69,MERU SOUTH,Urban,12084,11407,96,184,245,77,7,57,8,3,Meru,EASTERN
70,MAARA,Urban,8640,8383,81,52,104,8,1,9,1,1,Meru,EASTERN
71,IGEMBE,Urban,8160,7804,23,15,260,36,6,3,6,7,Meru,EASTERN
72,TIGANIA,Urban,954,832,3,14,94,10,1,0,0,0,Meru,EASTERN
73,THARAKA,Urban,2162,1825,17,2,70,233,5,3,4,3,Tharaka Nithi,EASTERN
74,EMBU,Urban,23951,22212,637,592,437,27,16,11,9,10,Embu,EASTERN
75,MBEERE,Urban,966,936,3,10,6,10,0,0,1,0,Embu,EASTERN
76,KITUI,Urban,27522,24966,402,67,394,1589,42,44,11,7,Kitui,EASTERN
77,MUTOMO,Urban,469,410,0,0,57,1,0,0,0,1,Kitui,EASTERN
78,MWINGI,Urban,5514,5362,31,87,8,2,1,3,0,20,Kitui,EASTERN
79,KYUSO,Urban,350,343,1,1,0,5,0,0,0,0,Kitui,EASTERN
80,MACHAKOS,Urban,84271,70641,2834,7574,2046,602,55,165,106,248,Machakos,EASTERN
81,MWALA,Urban,1833,1804,7,11,0,8,0,3,0,0,Machakos,EASTERN
82,YATTA,Urban,13302,12189,95,171,76,716,30,20,1,4,Machakos,EASTERN
83,KANGUNDO,Urban,50804,47577,372,219,943,1499,116,64,6,8,Machakos,EASTERN
84,MAKUENI,Urban,15462,13274,110,55,181,1832,5,3,0,2,Makueni,EASTERN
85,MBOONI,Urban,537,532,2,0,3,0,0,0,0,0,Makueni,EASTERN
