,district,urban_rural,household,iron_sheet,tiles,concrete,asbestos,grass,makuti,No_Tin,mud_dung,others,county,province
273,BOMET,Rural,56067,32660,312,25,582,22155,125,156,37,15,Bomet,RIFT VALLEY
274,KAJIADO NORTH,Rural,34412,22202,1765,409,835,4206,229,24,4389,353,Kajiado,RIFT VALLEY
275,KAKAMEGA CENTRAL,Urban,23661,22236,293,206,627,236,10,19,29,5,Kakamega,WESTERN
276,KAKAMEGA SOUTH,Urban,0,0,0,0,0,0,0,0,0,0,Kakamega,WESTERN
277,KAKAMEGA NORTH,Urban,1231,981,7,3,119,115,0,6,0,0,Kakamega,WESTERN
278,KAKAMEGA EAST,Urban,516,484,3,17,0,12,0,0,0,0,Kakamega,WESTERN
279,LUGARI,Urban,4796,4634,32,33,49,33,1,13,1,0,Kakamega,WESTERN
280,VIHIGA,Urban,27516,24924,291,141,1345,703,24,78,6,4,Vihiga,WESTERN
281,EMUHAYA,Urban,11644,11009,72,17,60,447,3,25,9,2,Vihiga,WESTERN
282,HAMISI,Urban,0,0,0,0,0,0,0,0,0,0,Vihiga,WESTERN
283,MUMIAS,Urban,27849,22098,117,40,1322,4154,9,92,15,2,Kakamega,WESTERN
284,BUTERE,Urban,2923,2267,11,16,246,381,0,0,2,0,Kakamega,WESTERN
285,BUNGOMA SOUTH,Urban,21982,20007,188,181,358,1185,29,18,9,7,Bungoma,WESTERN
286,BUNGOMA NORTH,Urban,19552,17256,84,22,405,1577,22,180,5,1,Bungoma,WESTERN
287,BUNGOMA EAST,Urban,13940,12857,181,60,249,578,6,5,4,0,Bungoma,WESTERN
288,BUNGOMA WEST,Urban,7479,5290,35,10,492,1641,1,3,6,1,Bungoma,WESTERN
289,MT. ELGON,Urban,2293,2065,9,2,10,161,0,5,0,41,Bungoma,WESTERN
290,BUSIA,Urban,10562,9159,54,25,182,1076,59,4,0,3,Busia,WESTERN
291,TESO NORTH,Urban,9934,5349,43,64,53,4401,19,0,4,1,Busia,WESTERN
292,SAMIA,Urban,0,0,0,0,0,0,0,0,0,0,Busia,WESTERN
293,BUNYALA,Urban,1710,1551,5,2,22,125,3,0,2,0,Busia,WESTERN
294,TESO SOUTH,Urban,5912,4867,91,14,141,796,1,0,2,0,Busia,WESTERN
295,KAKAMEGA CENTRAL,Rural,41339,29990,224,23,591,10427,50,11,21,2,Kakamega,WESTERN
296,KAKAMEGA SOUTH,Rural,23142,20854,143,16,522,1556,39,7,4,1,Kakamega,WESTERN
297,KAKAMEGA NORTH,Rural,39402,22473,123,23,1388,15262,11,14,9,99,Kakamega,WESTERN
298,KAKAMEGA EAST,Rural,33657,26803,221,20,1309,5243,21,23,11,6,Kakamega,WESTERN
299,LUGARI,Rural,54649,45988,334,38,1355,6763,40,75,17,39,Kakamega,WESTERN
300,VIHIGA,Rural,20644,19270,146,13,315,882,11,4,2,1,Vihiga,WESTERN
301,EMUHAYA,Rural,31357,29195,197,25,450,1347,30,103,6,4,Vihiga,WESTERN
302,HAMISI,Rural,32080,29500,185,43,856,1315,22,124,23,12,Vihiga,WESTERN
303,MUMIAS,Rural,50694,33636,270,26,383,16066,44,246,21,2,Kakamega,WESTERN
304,BUTERE,Rural,51516,39977,288,48,694,10327,59,106,13,4,Kakamega,WESTERN
305,BUNGOMA SOUTH,Rural,61231,40692,332,24,1868,18092,47,148,26,2,Bungoma,WESTERN
306,BUNGOMA NORTH,Rural,41908,37323,255,29,857,3412,14,5,10,3,Bungoma,WESTERN
307,BUNGOMA EAST,Rural,31944,27018,118,5,1133,3574,7,81,5,3,Bungoma,WESTERN
308,BUNGOMA WEST,Rural,40153,29627,203,14,1039,9164,24,8,41,33,Bungoma,WESTERN
309,MT. ELGON,Rural,30119,18282,129,16,720,10544,79,79,10,260,Bungoma,WESTERN
310,BUSIA,Rural,58208,28909,265,20,1253,27611,48,78,15,9,Busia,WESTERN
311,TESO NORTH,Rural,13490,3939,57,4,165,9317,5,1,2,0,Busia,WESTERN
312,SAMIA,Rural,19385,10214,139,10,390,8561,43,4,8,16,Busia,WESTERN
313,BUNYALA,Rural,13535,7880,67,5,221,5211,20,9,2,120,Busia,WESTERN
314,TESO SOUTH,Rural,21344,5429,77,6,141,15664,16,4,3,4,Busia,WESTERN
